timestamp num bytes from host ip seq ttl ping ms
2014-11-25@19:57:06 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3448 ttl=245 time=86.2 ms
2014-11-25@19:57:07 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3449 ttl=245 time=130 ms
2014-11-25@19:57:08 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3450 ttl=245 time=109 ms
2014-11-25@19:57:09 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3451 ttl=245 time=110 ms
2014-11-25@19:57:10 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3452 ttl=245 time=143 ms
2014-11-25@19:57:11 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3453 ttl=245 time=83.8 ms
2014-11-25@19:57:12 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3454 ttl=245 time=40.5 ms
2014-11-25@19:57:13 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3455 ttl=245 time=66.1 ms
2014-11-25@19:57:14 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3456 ttl=245 time=104 ms
2014-11-25@19:57:15 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3457 ttl=245 time=23.9 ms
2014-11-25@19:57:16 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3458 ttl=245 time=91.1 ms
2014-11-25@19:57:17 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3459 ttl=245 time=129 ms
2014-11-25@19:57:18 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3460 ttl=245 time=125 ms
2014-11-25@19:57:19 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3461 ttl=245 time=16.0 ms
2014-11-25@19:57:20 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3462 ttl=245 time=39.5 ms
2014-11-25@19:57:21 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3463 ttl=245 time=80.7 ms
2014-11-25@19:57:22 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3464 ttl=245 time=142 ms
2014-11-25@19:57:23 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3465 ttl=245 time=59.2 ms
2014-11-25@19:57:24 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3466 ttl=245 time=19.5 ms
2014-11-25@19:57:25 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3467 ttl=245 time=103 ms
2014-11-25@19:57:26 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3468 ttl=245 time=11.2 ms
2014-11-25@19:57:27 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3469 ttl=245 time=168 ms
2014-11-25@19:57:28 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3470 ttl=245 time=153 ms
2014-11-25@19:57:29 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3471 ttl=245 time=136 ms
2014-11-25@19:57:30 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3472 ttl=245 time=76.8 ms
2014-11-25@19:57:31 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3473 ttl=245 time=87.6 ms
2014-11-25@19:57:32 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3474 ttl=245 time=66.8 ms
2014-11-25@19:57:33 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3475 ttl=245 time=45.8 ms
2014-11-25@19:57:34 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3476 ttl=245 time=73.7 ms
2014-11-25@19:57:35 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3477 ttl=245 time=15.9 ms
2014-11-25@19:57:36 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3478 ttl=245 time=140 ms
2014-11-25@19:57:37 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3479 ttl=245 time=31.5 ms
2014-11-25@19:57:38 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3480 ttl=245 time=118 ms
2014-11-25@19:57:39 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3481 ttl=245 time=157 ms
2014-11-25@19:57:40 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3482 ttl=245 time=83.4 ms
2014-11-25@19:57:41 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3483 ttl=245 time=251 ms
2014-11-25@19:57:42 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3484 ttl=245 time=95.4 ms
2014-11-25@19:57:43 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3485 ttl=245 time=13.9 ms
